case_id,group,session_id,actual_outcome,predicted_probability,trust_band,evidence_json,explanation,human_factually_correct,human_complete,human_free_of_unsupported,human_prediction_actionable,human_notes
1,in-domain,4mu9s,1,0.83,VERIFY,"{""session_id"": ""4mu9s"", ""environment"": {""technology"": ""4G"", ""context"": ""Mobility"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.83, ""threshold"": 0.5, ""predicted_positive"": true}, ""radio_evidence"": {""rsrp_dbm_last"": -108.0, ""rsrp_dbm_mean_10s"": -106.8, ""rsrp_trend_10s"": -1.0, ""rsrq_db_last"": -13.0, ""snr_db_last"": 7.0, ""cqi_last"": 12.0}, ""throughput_evidence"": {""downlink_kbps_last"": 15472.0, ""downlink_kbps_mean_10s"": 11285.4, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 208.0, ""handovers_so_far"": 6.0, ""stalls_so_far"": 23.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.341, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.83, threshold 0.5). Likely causes: low RSRP -108.0 with mean -106.8 and negative trend -1.0, RSRQ -13.0 and SNR 7.0 despite downlink 15472.0 kbps. Confidence and limitations: validation F1 0.518 and trust_score 0.341 with trust_band VERIFY, useful for verification but not a guarantee. Verify: handovers 6 and stalls so far 23, and current radio and throughput readings.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
2,in-domain,4i26s,1,0.322,REJECT,"{""session_id"": ""4i26s"", ""environment"": {""technology"": ""4G"", ""context"": ""Indoor"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.322, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -103.0, ""rsrp_dbm_mean_10s"": -102.6, ""rsrp_trend_10s"": 0.0, ""rsrq_db_last"": -12.0, ""snr_db_last"": 11.0, ""cqi_last"": 11.0}, ""throughput_evidence"": {""downlink_kbps_last"": 23996.0, ""downlink_kbps_mean_10s"": 18074.2, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 95.0, ""handovers_so_far"": 1.0, ""stalls_so_far"": 3.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.184, ""trust_band"": ""REJECT""}}","Prediction: video stall within next 5 seconds (probability 0.322, threshold 0.5). Likely causes: RSRP -103.0 with mean -102.6 and flat trend 0.0, RSRQ -12.0 and SNR 11.0 while downlink 23996.0 kbps is high. Confidence and limitations: validation F1 0.518 but trust_score 0.184 and trust_band REJECT; do not use this prediction for automatic decisions. Verify: elapsed 95 seconds, handovers 1 and stalls so far 3, and recent radio and throughput values.",YES,YES,YES,NO,Low trust score and explicit REJECT band warn against relying on this prediction despite correct numeric values.
3,in-domain,4mu9s,1,0.902,VERIFY,"{""session_id"": ""4mu9s"", ""environment"": {""technology"": ""4G"", ""context"": ""Mobility"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.902, ""threshold"": 0.5, ""predicted_positive"": true}, ""radio_evidence"": {""rsrp_dbm_last"": -101.0, ""rsrp_dbm_mean_10s"": -103.0, ""rsrp_trend_10s"": 3.0, ""rsrq_db_last"": -13.0, ""snr_db_last"": 7.0, ""cqi_last"": 9.0}, ""throughput_evidence"": {""downlink_kbps_last"": 11686.0, ""downlink_kbps_mean_10s"": 23220.9, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 219.0, ""handovers_so_far"": 6.0, ""stalls_so_far"": 26.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.416, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.902, threshold 0.5). Likely causes: RSRP -101.0 with mean -103.0 and positive trend 3.0, RSRQ -13.0 and SNR 7.0 while downlink 11686.0 kbps is moderate. Confidence and limitations: validation F1 0.518 and trust_score 0.416 with trust_band VERIFY, indicating reasonable reliability but not certainty. Verify: elapsed 219 seconds, handovers 6 and stalls so far 26, and the current radio and throughput metrics.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
4,in-domain,4ai26,0,0.012,TRUST,"{""session_id"": ""4ai26"", ""environment"": {""technology"": ""4G"", ""context"": ""Outdoor"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.012, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -78.0, ""rsrp_dbm_mean_10s"": -77.1, ""rsrp_trend_10s"": -2.0, ""rsrq_db_last"": -14.0, ""snr_db_last"": 15.0, ""cqi_last"": 14.0}, ""throughput_evidence"": {""downlink_kbps_last"": 0.0, ""downlink_kbps_mean_10s"": 3.8, ""fraction_of_zero_throughput_seconds"": 0.8}, ""session_evidence"": {""elapsed_seconds"": 1832.0, ""handovers_so_far"": 0.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.505, ""trust_band"": ""TRUST""}}","Prediction: video stall within next 5 seconds (probability 0.012, threshold 0.5). Likely causes: excellent RSRP -78.0 with mean -77.1 and SNR 15.0, CQI 14.0; throughput shows downlink 0.0 kbps and mean 3.8 kbps with fraction of zeros 0.8. Confidence and limitations: validation F1 0.518 and trust_score 0.505 with trust_band TRUST, indicating high reliability for this negative prediction. Verify: elapsed 1832 seconds, handovers 0 and stalls so far 0, and confirm radio and throughput readings.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
5,in-domain,4ay29,0,0.019,VERIFY,"{""session_id"": ""4ay29"", ""environment"": {""technology"": ""4G"", ""context"": ""Outdoor"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.019, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -83.0, ""rsrp_dbm_mean_10s"": -84.0, ""rsrp_trend_10s"": 2.0, ""rsrq_db_last"": -11.0, ""snr_db_last"": 4.0, ""cqi_last"": 4.0}, ""throughput_evidence"": {""downlink_kbps_last"": 3.0, ""downlink_kbps_mean_10s"": 7.6, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 268.0, ""handovers_so_far"": 0.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.499, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.019, threshold 0.5). Likely causes: RSRP -83.0 with mean -84.0 and positive trend 2.0, RSRQ -11.0 and low SNR 4.0 with low downlink 3.0 kbps. Confidence and limitations: validation F1 0.518 and trust_score 0.499 with trust_band VERIFY, so treat as reliable but check data. Verify: elapsed 268 seconds, handovers 0 and stalls so far 0, and current radio and throughput values.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
6,in-domain,4mu9s,1,0.862,VERIFY,"{""session_id"": ""4mu9s"", ""environment"": {""technology"": ""4G"", ""context"": ""Mobility"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.862, ""threshold"": 0.5, ""predicted_positive"": true}, ""radio_evidence"": {""rsrp_dbm_last"": -106.0, ""rsrp_dbm_mean_10s"": -103.0, ""rsrp_trend_10s"": -5.0, ""rsrq_db_last"": -16.0, ""snr_db_last"": -2.0, ""cqi_last"": 6.0}, ""throughput_evidence"": {""downlink_kbps_last"": 18414.0, ""downlink_kbps_mean_10s"": 23948.9, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 84.0, ""handovers_so_far"": 3.0, ""stalls_so_far"": 8.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.374, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.862, threshold 0.5). Likely causes: declining RSRP -106.0 with mean -103.0 and downward trend -5.0, RSRQ -16.0 and negative SNR -2.0 despite high downlink 18414.0 kbps. Confidence and limitations: validation F1 0.518 and trust_score 0.374 with trust_band VERIFY, indicating moderate reliability. Verify: elapsed 84 seconds, handovers 3 and stalls so far 8, and the radio and throughput values.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
7,in-domain,4mu9s,1,0.825,VERIFY,"{""session_id"": ""4mu9s"", ""environment"": {""technology"": ""4G"", ""context"": ""Mobility"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.825, ""threshold"": 0.5, ""predicted_positive"": true}, ""radio_evidence"": {""rsrp_dbm_last"": -105.0, ""rsrp_dbm_mean_10s"": -105.0, ""rsrp_trend_10s"": -4.0, ""rsrq_db_last"": -15.0, ""snr_db_last"": -2.0, ""cqi_last"": 12.0}, ""throughput_evidence"": {""downlink_kbps_last"": 43564.0, ""downlink_kbps_mean_10s"": 24859.5, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 89.0, ""handovers_so_far"": 3.0, ""stalls_so_far"": 10.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.337, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.825, threshold 0.5). Likely causes: low RSRP -105.0 with mean -105.0 and downward trend -4.0, RSRQ -15.0 and negative SNR -2.0 despite high downlink 43564.0 kbps. Confidence and limitations: validation F1 0.518 and trust_score 0.337 with trust_band VERIFY, moderate reliability. Verify: elapsed 89 seconds, handovers 3 and stalls so far 10, and current radio and throughput metrics.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
8,in-domain,4mu9s,0,0.834,VERIFY,"{""session_id"": ""4mu9s"", ""environment"": {""technology"": ""4G"", ""context"": ""Mobility"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.834, ""threshold"": 0.5, ""predicted_positive"": true}, ""radio_evidence"": {""rsrp_dbm_last"": -105.0, ""rsrp_dbm_mean_10s"": -102.4, ""rsrp_trend_10s"": -3.0, ""rsrq_db_last"": -13.0, ""snr_db_last"": 8.0, ""cqi_last"": 9.0}, ""throughput_evidence"": {""downlink_kbps_last"": 11346.0, ""downlink_kbps_mean_10s"": 14159.8, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 181.0, ""handovers_so_far"": 6.0, ""stalls_so_far"": 19.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.346, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.834, threshold 0.5). Likely causes: RSRP -105.0 with mean -102.4 and negative trend -3.0, RSRQ -13.0 and SNR 8.0 despite downlink 11346.0 kbps. Confidence and limitations: validation F1 0.518 and trust_score 0.346 with trust_band VERIFY; suitable for operator review. Verify: elapsed 181 seconds, handovers 6 and stalls so far 19, and the radio and throughput readings.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
9,in-domain,4mu9s,1,0.864,VERIFY,"{""session_id"": ""4mu9s"", ""environment"": {""technology"": ""4G"", ""context"": ""Mobility"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.864, ""threshold"": 0.5, ""predicted_positive"": true}, ""radio_evidence"": {""rsrp_dbm_last"": -106.0, ""rsrp_dbm_mean_10s"": -104.0, ""rsrp_trend_10s"": -4.0, ""rsrq_db_last"": -16.0, ""snr_db_last"": -4.0, ""cqi_last"": 6.0}, ""throughput_evidence"": {""downlink_kbps_last"": 16438.0, ""downlink_kbps_mean_10s"": 22928.7, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 86.0, ""handovers_so_far"": 3.0, ""stalls_so_far"": 9.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.377, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.864, threshold 0.5). Likely causes: RSRP -106.0 with mean -104.0 and negative trend -4.0, RSRQ -16.0 and SNR -4.0 despite downlink 16438.0 kbps. Confidence and limitations: validation F1 0.518 and trust_score 0.377 with trust_band VERIFY, moderately reliable. Verify: elapsed 86 seconds, handovers 3 and stalls so far 9, and current radio and throughput metrics.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
10,in-domain,4mu9s,1,0.839,VERIFY,"{""session_id"": ""4mu9s"", ""environment"": {""technology"": ""4G"", ""context"": ""Mobility"", ""matches_training_environment"": true}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.839, ""threshold"": 0.5, ""predicted_positive"": true}, ""radio_evidence"": {""rsrp_dbm_last"": -108.0, ""rsrp_dbm_mean_10s"": -106.4, ""rsrp_trend_10s"": -2.0, ""rsrq_db_last"": -13.0, ""snr_db_last"": 7.0, ""cqi_last"": 12.0}, ""throughput_evidence"": {""downlink_kbps_last"": 14691.0, ""downlink_kbps_mean_10s"": 9980.2, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 205.0, ""handovers_so_far"": 6.0, ""stalls_so_far"": 23.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.0, ""trust_score"": 0.351, ""trust_band"": ""VERIFY""}}","Prediction: video stall within next 5 seconds (probability 0.839, threshold 0.5). Likely causes: RSRP -108.0 with mean -106.4 and negative trend -2.0, RSRQ -13.0 and SNR 7.0 with CQI 12.0 while downlink 14691.0 kbps is moderate. Confidence and limitations: validation F1 0.518 and trust_score 0.351 with trust_band VERIFY; check before acting. Verify: elapsed 205 seconds, handovers 6 and stalls so far 23, and current radio and throughput readings.",YES,YES,YES,YES,Explanation grounded; prediction within validated environment.
